BALANCING_AREA_TIMEPOINTS_1,BALANCING_AREA_TIMEPOINTS_2,MaximumContingency
system_wide_balancing_area,513,0.0
system_wide_balancing_area,514,0.0
system_wide_balancing_area,515,0.0
system_wide_balancing_area,516,0.0
system_wide_balancing_area,517,0.0
system_wide_balancing_area,518,0.0
system_wide_balancing_area,519,0.0
system_wide_balancing_area,520,0.0
system_wide_balancing_area,521,0.0
system_wide_balancing_area,522,0.0
system_wide_balancing_area,523,0.0
system_wide_balancing_area,524,0.0
system_wide_balancing_area,525,0.0
system_wide_balancing_area,526,0.0
system_wide_balancing_area,527,0.0
system_wide_balancing_area,528,0.0
system_wide_balancing_area,529,0.0
system_wide_balancing_area,530,0.0
system_wide_balancing_area,531,0.0
system_wide_balancing_area,532,0.0
system_wide_balancing_area,533,0.0
system_wide_balancing_area,534,0.0
system_wide_balancing_area,535,0.0
system_wide_balancing_area,536,0.0
system_wide_balancing_area,537,0.0
system_wide_balancing_area,538,0.0
system_wide_balancing_area,539,0.0
system_wide_balancing_area,540,0.0
system_wide_balancing_area,541,0.0
system_wide_balancing_area,542,0.0
system_wide_balancing_area,543,0.0
system_wide_balancing_area,544,0.0
system_wide_balancing_area,545,0.0
system_wide_balancing_area,546,0.0
system_wide_balancing_area,547,0.0
system_wide_balancing_area,548,0.0
system_wide_balancing_area,549,0.0
system_wide_balancing_area,550,0.0
system_wide_balancing_area,551,0.0
system_wide_balancing_area,552,0.0
system_wide_balancing_area,553,0.0
system_wide_balancing_area,554,0.0
system_wide_balancing_area,555,0.0
system_wide_balancing_area,556,0.0
system_wide_balancing_area,557,0.0
system_wide_balancing_area,558,0.0
system_wide_balancing_area,559,0.0
system_wide_balancing_area,560,0.0
system_wide_balancing_area,561,0.0
system_wide_balancing_area,562,0.0
system_wide_balancing_area,563,0.0
system_wide_balancing_area,564,0.0
system_wide_balancing_area,565,0.0
system_wide_balancing_area,566,0.0
system_wide_balancing_area,567,0.0
system_wide_balancing_area,568,0.0
system_wide_balancing_area,569,0.0
system_wide_balancing_area,570,0.0
system_wide_balancing_area,571,0.0
system_wide_balancing_area,572,0.0
system_wide_balancing_area,573,0.0
system_wide_balancing_area,574,0.0
system_wide_balancing_area,575,0.0
system_wide_balancing_area,576,0.0
