load_zone,timestamp,ZoneTotalCentralDispatch,ZoneTotalDistributedDispatch,TXPowerNet,zone_demand_mw
NSANT,35_Q4_20,513.924,0,-150.988,362.935
NSANT,35_Q4_21,508.028,0,-180.464,327.564
NSANT,35_Q4_22,498.994,0,-210.732,288.262
NSANT,35_Q4_23,494.407,0,-225.796,268.611
NSANT,40_Q1_0,293.503,0,-13.7932,279.709
NSANT,40_Q1_1,285.4,0,-17.3453,268.055
NSANT,40_Q1_2,282.088,0,-22.3578,259.73
NSANT,40_Q1_3,275.246,0,1.13315,276.38
NSANT,40_Q1_4,270.631,0,18.0109,288.642
NSANT,40_Q1_5,267.221,0,32.3782,299.599
NSANT,40_Q1_6,291.07,0,18.6081,309.678
NSANT,40_Q1_7,352.518,0,-10.8565,341.661
NSANT,40_Q1_8,406.158,0,-38.2069,367.951
NSANT,40_Q1_9,438.898,0,-64.8161,374.082
NSANT,40_Q1_10,467.74,0,-81.6091,386.131
NSANT,40_Q1_11,474.776,0,-94.3379,380.438
NSANT,40_Q1_12,476.025,0,-104.136,371.889
NSANT,40_Q1_13,466.91,0,-90.859,376.051
NSANT,40_Q1_14,447.959,0,-71.6833,376.276
NSANT,40_Q1_15,414.945,0,-44.721,370.224
NSANT,40_Q1_16,374.001,0,2.27519,376.276
NSANT,40_Q1_17,310.879,0,90.5962,401.475
NSANT,40_Q1_18,292.709,0,141.614,434.324
NSANT,40_Q1_19,295.751,0,126.311,422.062
NSANT,40_Q1_20,293.304,0,91.0723,384.376
NSANT,40_Q1_21,294.111,0,52.804,346.915
NSANT,40_Q1_22,289.042,0,16.2497,305.291
NSANT,40_Q1_23,280.424,0,4.05522,284.48
NSANT,40_Q2_0,559.246,0,-265.385,293.862
NSANT,40_Q2_1,560.959,0,-279.342,281.618
NSANT,40_Q2_2,557.409,0,-284.538,272.872
NSANT,40_Q2_3,556.766,0,-266.402,290.364
NSANT,40_Q2_4,553.604,0,-250.358,303.246
NSANT,40_Q2_5,552.081,0,-237.323,314.758
NSANT,40_Q2_6,571.77,0,-246.423,325.347
NSANT,40_Q2_7,637.568,0,-278.62,358.948
NSANT,40_Q2_8,699.99,0,-313.422,386.568
NSANT,40_Q2_9,737.537,0,-344.527,393.01
NSANT,40_Q2_10,748.852,0,-343.184,405.668
NSANT,40_Q2_11,752.769,0,-353.082,399.687
NSANT,40_Q2_12,748.019,0,-357.314,390.705
NSANT,40_Q2_13,736.481,0,-341.403,395.078
NSANT,40_Q2_14,719.719,0,-324.405,395.314
NSANT,40_Q2_15,686.259,0,-297.303,388.956
NSANT,40_Q2_16,632.669,0,-237.354,395.314
NSANT,40_Q2_17,576.051,0,-154.263,421.788
NSANT,40_Q2_18,551.752,0,-95.453,456.299
NSANT,40_Q2_19,553.619,0,-110.202,443.417
NSANT,40_Q2_20,547.387,0,-143.563,403.824
NSANT,40_Q2_21,541.902,0,-177.434,364.467
NSANT,40_Q2_22,538.474,0,-217.736,320.738
NSANT,40_Q2_23,528.277,0,-229.404,298.873
NSANT,40_Q3_0,532.176,0,-239.504,292.673
NSANT,40_Q3_1,525.663,0,-245.185,280.478
NSANT,40_Q3_2,530.268,0,-258.5,271.767
NSANT,40_Q3_3,533.584,0,-244.395,289.188
NSANT,40_Q3_4,532.152,0,-230.133,302.019
NSANT,40_Q3_5,527.51,0,-214.026,313.484
NSANT,40_Q3_6,549.403,0,-225.373,324.03
NSANT,40_Q3_7,610.79,0,-253.295,357.495
NSANT,40_Q3_8,669.907,0,-284.903,385.004
NSANT,40_Q3_9,700.44,0,-309.021,391.419
NSANT,40_Q3_10,717.43,0,-313.404,404.026
NSANT,40_Q3_11,726.099,0,-328.03,398.07
NSANT,40_Q3_12,728.001,0,-338.877,389.124
NSANT,40_Q3_13,717.239,0,-323.76,393.479
NSANT,40_Q3_14,698.859,0,-305.145,393.714
NSANT,40_Q3_15,670.879,0,-283.497,387.382
NSANT,40_Q3_16,626.935,0,-233.221,393.714
NSANT,40_Q3_17,570.792,0,-150.711,420.081
NSANT,40_Q3_18,557.546,0,-103.093,454.453
NSANT,40_Q3_19,551.865,0,-110.243,441.622
NSANT,40_Q3_20,553.802,0,-151.612,402.19
NSANT,40_Q3_21,548.054,0,-185.062,362.992
NSANT,40_Q3_22,536.324,0,-216.885,319.44
NSANT,40_Q3_23,530.839,0,-233.176,297.664
NSANT,40_Q4_0,530.202,0,-245.4,284.802
NSANT,40_Q4_1,531.778,0,-258.843,272.935
NSANT,40_Q4_2,528.293,0,-263.834,264.459
NSANT,40_Q4_3,517.979,0,-236.568,281.411
NSANT,40_Q4_4,517.976,0,-224.079,293.897
NSANT,40_Q4_5,515.376,0,-210.322,305.053
NSANT,40_Q4_6,531.947,0,-216.63,315.316
NSANT,40_Q4_7,592.323,0,-244.442,347.881
NSANT,40_Q4_8,645.013,0,-270.363,374.65
NSANT,40_Q4_9,679.051,0,-298.158,380.893
NSANT,40_Q4_10,696.461,0,-303.3,393.16
NSANT,40_Q4_11,699.61,0,-312.246,387.364
NSANT,40_Q4_12,696.078,0,-317.419,378.659
NSANT,40_Q4_13,685.021,0,-302.123,382.897
NSANT,40_Q4_14,669.741,0,-286.615,383.126
NSANT,40_Q4_15,647.143,0,-270.179,376.964
NSANT,40_Q4_16,612.823,0,-229.697,383.126
NSANT,40_Q4_17,568.312,0,-159.528,408.784
NSANT,40_Q4_18,554.912,0,-112.681,442.231
NSANT,40_Q4_19,548.519,0,-118.773,429.746
NSANT,40_Q4_20,537.073,0,-145.699,391.374
NSANT,40_Q4_21,534.211,0,-180.98,353.231
NSANT,40_Q4_22,517.877,0,-207.028,310.849
NSANT,40_Q4_23,502.798,0,-213.139,289.659
NSANT,45_Q1_0,518.393,0,-222.556,295.836
NSANT,45_Q1_1,519.263,0,-235.753,283.51
NSANT,45_Q1_2,520.407,0,-245.702,274.705
NSANT,45_Q1_3,510.694,0,-218.38,292.315
NSANT,45_Q1_4,511.931,0,-206.647,305.284
NSANT,45_Q1_5,514.853,0,-197.981,316.873
NSANT,45_Q1_6,529.029,0,-201.495,327.533
NSANT,45_Q1_7,596.023,0,-234.663,361.36
NSANT,45_Q1_8,667.542,0,-278.376,389.166
NSANT,45_Q1_9,703.811,0,-308.161,395.65
