PRR_TIMEPOINTS_1,PRR_TIMEPOINTS_2,CapacityRequirements
system-planning,489,15383.164435474997
system-planning,490,15639.49250385
system-planning,491,16143.204131385
system-planning,492,15905.217528585
system-planning,493,15547.785178389999
system-planning,494,15721.802874675
system-planning,495,15731.199831034997
system-planning,496,15478.178099254998
system-planning,497,15731.199831034997
system-planning,498,16784.702970624996
system-planning,499,18158.05063658
system-planning,500,17645.394500404997
system-planning,501,16069.838270235
system-planning,502,14503.678994814998
system-planning,503,12763.502022074998
system-planning,504,11893.41353536
system-planning,505,11291.508731865
system-planning,506,10821.029201155
system-planning,507,10484.972394080001
system-planning,508,11157.086009724997
system-planning,509,11652.097687275
system-planning,510,12094.415656654997
system-planning,511,12501.313238714998
system-planning,512,13792.409888105
system-planning,513,14853.710890539998
system-planning,514,15101.216728969997
system-planning,515,15587.59174805
system-planning,516,15357.796102475
system-planning,517,15012.665762394998
system-planning,518,15180.694165185
system-planning,519,15189.767698995
system-planning,520,14945.45440006
system-planning,521,15189.767698995
system-planning,522,16207.011654949998
system-planning,523,17533.091818735
system-planning,524,17038.080139919995
system-planning,525,15516.75097249
system-planning,526,14004.495338639997
system-planning,527,12324.211301424997
system-planning,528,11484.069282415
system-planning,529,11320.748834034997
system-planning,530,10849.05096653
system-planning,531,10512.123918459998
system-planning,532,11185.978014829998
system-planning,533,11682.271558739998
system-planning,534,12125.734938815
system-planning,535,12533.686209869995
system-planning,536,13828.126237584998
system-planning,537,14892.175550845
system-planning,538,15140.32232165
system-planning,539,15627.956839935
system-planning,540,15397.566122375
system-planning,541,15051.542044844999
system-planning,542,15220.005567499997
system-planning,543,15229.10259972
system-planning,544,14984.156634149998
system-planning,545,15229.10259972
system-planning,546,16248.980775344999
system-planning,547,17578.4949079
system-planning,548,17082.20136675
system-planning,549,15556.932616375
system-planning,550,14040.760898335002
system-planning,551,12356.125654765
system-planning,552,11513.808032635001
system-planning,553,11474.270733289997
system-planning,554,10996.176119239999
system-planning,555,10654.67996638
system-planning,556,11337.672272214999
system-planning,557,11840.696105795
system-planning,558,12290.173342675
system-planning,559,12703.656882735
system-planning,560,14015.650952395
system-planning,561,15094.129951719997
system-planning,562,15345.641868969997
system-planning,563,15839.889252149997
system-planning,564,15606.37418308
system-planning,565,15255.657632325
system-planning,566,15426.405709674998
system-planning,567,15435.626105729998
system-planning,568,15187.358402189999
system-planning,569,15435.626105729998
system-planning,570,16469.334958065
system-planning,571,17816.87877728
system-planning,572,17313.854946344996
system-planning,573,15767.90186127
system-planning,574,14231.169175239997
system-planning,575,12523.688411515
system-planning,576,11669.948028444998
