GENERATION_PROJECT;gen_tech;gen_load_zone;gen_connect_cost_per_mw;gen_capacity_limit_mw;gen_full_load_heat_rate;gen_variable_om;gen_max_age;gen_min_build_capacity;gen_scheduled_outage_rate;gen_forced_outage_rate;gen_is_variable;gen_is_baseload;gen_is_cogen;gen_energy_source;gen_unit_size;gen_ccs_capture_efficiency;gen_ccs_energy_load;gen_storage_efficiency;gen_store_to_release_ratio
DE_SAN_FRAN;Hidro;CQR;0;.;.;0;80;0;0;0;0;0;0;Water;.;.;.;.;.
SAN_FRANCISCO;Hidro;CQR;0;.;.;37.35;80;0;0.3986;0.2301;0;0;0;Water;.;.;.;.;.
NIQUIA;Hidro;ANT-CHO;0;.;.;0;80;0;0.38;0.38;0;0;0;Water;.;.;.;.;.
GUAVIO;Hidro;BOG-CUN;0;.;.;37.35;80;0;0.0639;0.0049;0;0;0;Water;.;.;.;.;.
SISGA;Hidro;BOG-CUN;0;.;.;0;80;0;0;0;0;0;0;Water;.;.;.;.;.
RB_ACHURY;Hidro;BOG-CUN;0;.;.;0;80;0;0;0;0;0;0;Water;.;.;.;.;.
TOMINE;Hidro;BOG-CUN;0;.;.;0;80;0;0;0;0;0;0;Water;.;.;.;.;.
NEUSA;Hidro;BOG-CUN;0;.;.;0;80;0;0;0;0;0;0;Water;.;.;.;.;.
RB_ACHU-ESPI;Hidro;BOG-CUN;0;.;.;0;80;0;0;0;0;0;0;Water;.;.;.;.;.
S_ACUEDU-BOG;Hidro;BOG-CUN;0;.;.;0;80;0;0;0;0;0;0;Water;.;.;.;.;.
CHUZA;Hidro;BOG-CUN;0;.;.;0;80;0;0;0;0;0;0;Water;.;.;.;.;.
DESV_RBLANCO;Hidro;BOG-CUN;0;.;.;0;80;0;0;0;0;0;0;Water;.;.;.;.;.
TUNEL_CHUZA;Hidro;BOG-CUN;0;.;.;0;80;0;0;0;0;0;0;Water;.;.;.;.;.
RB_ESPI-ALIC;Hidro;BOG-CUN;0;.;.;0;80;0;0;0;0;0;0;Water;.;.;.;.;.
SALTO_II;Hidro;BOG-CUN;0;.;.;37.35;80;0;0.15;0.15;0;0;0;Water;.;.;.;.;.
DARIO_VALENC;Hidro;BOG-CUN;0;.;.;37.35;80;0;0.0532;0.0532;0;0;0;Water;.;.;.;.;.
LAGUN-LIMON;Hidro;BOG-CUN;0;.;.;0;80;0;0.1;0.04;0;0;0;Water;.;.;.;.;.
PARAISO;Hidro;BOG-CUN;0;.;.;37.35;80;0;0.0684;0.013;0;0;0;Water;.;.;.;.;.
LA_GUACA;Hidro;BOG-CUN;0;.;.;37.35;80;0;0.0671;0.0097;0;0;0;Water;.;.;.;.;.
NEGRORUCIO;Hidro;BOG-CUN;0;.;.;0;80;0;0;0;0;0;0;Water;.;.;.;.;.
EL_QUIMBO;Hidro;HTC;0;.;.;37.35;80;0;0.15;0.15;0;0;0;Water;.;.;.;.;.
RUCIO;Hidro;BOG-CUN;0;.;.;0;80;0;0;0;0;0;0;Water;.;.;.;.;.
NEGRO;Hidro;BOG-CUN;0;.;.;0;80;0;0;0;0;0;0;Water;.;.;.;.;.
TUNJITA;Hidro;BOG-CUN;0;.;.;0;80;0;0.35;0.35;0;0;0;Water;.;.;.;.;.
CHIVOR;Hidro;BOG-CUN;0;.;.;37.35;80;0;0.2232;0.0093;0;0;0;Water;.;.;.;.;.
PRADO;Hidro;HTC;0;.;.;37.35;80;0;0.1455;0.0312;0;0;0;Water;.;.;.;.;.
PRADO4;Hidro;HTC;0;.;.;0;80;0;0.38;0.38;0;0;0;Water;.;.;.;.;.
BETANIA;Hidro;HTC;0;.;.;37.35;80;0;0.1069;0.0234;0;0;0;Water;.;.;.;.;.
ALTOANCHICAY;Hidro;VALLE;0;.;.;37.35;80;0;0.1946;0.1735;0;0;0;Water;.;.;.;.;.
BAJOANCHICAY;Hidro;VALLE;0;.;.;37.35;80;0;0.0314;0.018;0;0;0;Water;.;.;.;.;.
CALIMA;Hidro;VALLE;0;.;.;37.35;80;0;0.3327;0.0792;0;0;0;Water;.;.;.;.;.
SALVAJINA;Hidro;VALLE;0;.;.;37.35;80;0;0.1947;0.1376;0;0;0;Water;.;.;.;.;.
AMOYA;Hidro;HTC;0;.;.;37.35;80;0;0.0574;0.0117;0;0;0;Water;.;.;.;.;.
GUARINO;Hidro;BOG-CUN;0;.;.;0;80;0;0;0;0;0;0;Water;.;.;.;.;.
MANSO;Hidro;BOG-CUN;0;.;.;0;80;0;0;0;0;0;0;Water;.;.;.;.;.
COMP_ESPINO;Hidro;BOG-CUN;0;.;.;0;80;0;0;0;0;0;0;Water;.;.;.;.;.
MUNA;Hidro;BOG-CUN;0;.;.;0;80;0;0;0;0;0;0;Water;.;.;.;.;.
MIEL_I;Hidro;BOG-CUN;0;.;.;37.35;80;0;0.0914;0.0186;0;0;0;Water;.;.;.;.;.
PORCE_II;Hidro;ANT-CHO;0;.;.;37.35;80;0;0.0174;0.0037;0;0;0;Water;.;.;.;.;.
PORCE_III;Hidro;ANT-CHO;0;.;.;37.35;80;0;0.0908;0.0307;0;0;0;Water;.;.;.;.;.
SOGAMOSO;Hidro;SANT-ARA;0;.;.;37.35;80;0;0.15;0.15;0;0;0;Water;.;.;.;.;.
PESCADERO;Hidro;ANT-CHO;0;.;.;37.35;80;0;0.15;0.15;0;0;0;Water;.;.;.;.;.
CUCUANA;Hidro;HTC;0;.;.;37.35;80;0;0.15;0.15;0;0;0;Water;.;.;.;.;.
DS_SNMARCOS;Hidro;HTC;0;.;.;0;80;0;0;0;0;0;0;Water;.;.;.;.;.
SNMIGUEL;Hidro;ANT-CHO;0;.;.;37.35;80;0;0.1;0.1;0;0;0;Water;.;.;.;.;.
MIEL_II;Hidro;CQR;0;.;.;37.35;80;0;0.0914;0.0186;0;0;0;Water;.;.;.;.;.
C_LLERAS_R;Hidro;ANT-CHO;0;.;.;37.35;80;0;0.1;0.1;0;0;0;Water;.;.;.;.;.
EXP_HID_1;Hidro;ANT-CHO;0;.;.;37.35;80;0;0.15;0.15;0;0;0;Water;.;.;.;.;.
